Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED Number,Notes,Trial State,State Duration,Arena Type,,,
1,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[1],fed_dob2.3-5_mixedsex,disabled,0,tunnels_A,TRIAL DURATION:,45,"[1, 6]"
2,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[2],fed_dob2.3-5_mixedsex,enabled,30,,hours:,0.75,"[2,7]"
3,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",empty,{on_t: 0.25},[3],fed_dob2.3-5_mixedsex,disabled,15,,,,"[3,8]"
4,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[4],fed_dob2.3-5_mixedsex,,,,,,"[4,9]"
5,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[5],fed_dob2.3-5_mixedsex,,,,,,"[5,10]"
6,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[11],fed_dob2.3-5_mixedsex,,,,,,"[11,16]"
7,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[12],fed_dob2.3-5_mixedsex,,,,,,"[12,17]"
8,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",empty,{on_t: 0.25},[13],fed_dob2.3-5_mixedsex,,,,,,"[13,18]"
9,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[14],fed_dob2.3-5_mixedsex,,,,,,"[14,19]"
10,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[15],fed_dob2.3-5_mixedsex,,,,,,"[15,20]"
11,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[21],fed_dob2.3-5_mixedsex,,,,,,"[21,26]"
12,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[22],fed_dob2.3-5_mixedsex,,,,,,"[22,27]"
13,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",empty,{on_t: 0.25},[23],fed_dob2.3-5_mixedsex,,,,,,"[23,28]"
14,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[24],fed_dob2.3-5_mixedsex,,,,,,"[24,29]"
15,PAM_0273,roi_revisit,"{x_pos: -95, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[25],fed_dob2.3-5_mixedsex,,,,,,"[25,30]"